MWSLIN,SOR,NSN,TAMCN,NOMENCLATURE,Qty,Report Date,NIIN
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,10/1/2023,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,11/1/2023,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,12/1/2023,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,12,1/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,2/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,3/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,4/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,5/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,6/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,7/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,8/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,9/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,10/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,11/1/2024,15541735
C768,PPA,1.24002E+12,E0846,Thermal Elbow Assembly TSS,0,12/1/2024,15541735
D009,PPB,5.89502E+12,A0123,"Console, Communications",12,10/1/2023,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",3,11/1/2023,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,12/1/2023,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,1/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,2/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,3/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,4/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,5/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,6/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,7/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,8/1/2024,15525616
D009,PPB,5.89502E+12,A0123,"Console, Communications",0,9/1/2024,15525616
