MWSLIN,SOR,NSN,NIIN,TAMCN,NOMENCLATURE,Qty,Report Date
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,10/1/2023
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,11/1/2023
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,12/1/2023
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,12,1/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,2/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,3/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,4/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,5/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,6/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,7/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,8/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,9/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,10/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,11/1/2024
C768,PPA,1240015541735,15541735,E0846,Thermal Elbow Assembly TSS,0,12/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",12,10/1/2023
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",3,11/1/2023
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,12/1/2023
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,1/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,2/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,3/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,4/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,5/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,6/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,7/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,8/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,9/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,10/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,11/1/2024
D009,PPB,5895015525616,15525616,A0123,"Console, Communications",0,12/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,10/1/2023
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,11/1/2023
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,12/1/2023
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,1/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,2/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,3/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,4/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,5/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,6/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,7/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,8/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,9/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,10/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,11/1/2024
D046,PPA,5820200058054,200058054,A0153,"Receiver-Transmitter, Radio",0,12/1/2024
D052,PPA,5998011423769,11423769,A2179,Electronic Component,0,10/1/2023
D052,PPA,5998011423769,11423769,A2179,Electronic Component,0,11/1/2023
D052,PPA,5998011423769,11423769,A2179,Electronic Component,0,12/1/2023
D052,PPA,5998011423769,11423769,A2179,Electronic Component,0,1/1/2024
