NIIN,Plant Code,Qty,Current Month,Street and House Number,City,State,Location
1184942,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
1960038,SDA,9,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
4906207,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10276954,SDA,25,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10692638,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10828114,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10886791,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10893567,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
10896328,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11138312,SG2,11,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
11250461,MG4,1,3/1/2024,BLDG 2200 DOOR N16 (BLDG 2229),ALBANY,GA,"ALBANY, GA"
11250461,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11385073,MG4,2,3/1/2024,BLDG 2200 DOOR N16 (BLDG 2229),ALBANY,GA,"ALBANY, GA"
11385073,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11385787,SDA,123,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11394925,MG4,1,3/1/2024,BLDG 2200 DOOR N16 (BLDG 2229),ALBANY,GA,"ALBANY, GA"
11401312,SDA,18,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11404253,SDA,40,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11406008,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11406030,SDA,4,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11406067,SDA,13,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
11406068,SDA,19,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
