Plant Code,Plant,Street and House Number,PostalCode,City,State,Location
BA4,ARMY GENERAL SUPPLY LMP STOCK,7 FRANKFORD AVE 362,36201-4199,ANNISTON,AL,"ANNISTON, AL"
SDU,DEF DIST DEPOT TINKER AFB,3301 F AVE CEN REC BLDG 506 DR,73145-8000,TINKER AFB,OK,"TINKER AFB, OK"
SR5,DEFENSE LOGISTICS AGENCY LAND,BLDG 1331 DOOR 10K,31704-1130,ALBANY,GA,"ALBANY, GA"
MBB,DIR FLEET SUPPORT DIV B875,BOX 110870,92311-5048,BARSTOW,CA,"BARSTOW, CA"
M20,DISTRIBUTION MANAGEMENT OFFICE,6200 FLAGSHIP CIR BLOUNT IS,32226-3404,JACKSONVILLE,FL,"JACKSONVILLE, FL"
M3H,DISTRIBUTION MANAGEMENT OFFICE,BLDG 209 2ND & C STREET,96863-3063,MCBH KANEOHE BAY,HI,"MCBH KANEOHE BAY, HI"
MF1,DISTRIBUTION MANAGEMENT OFFICE,6200 FLAGSHIP CIRCLE BLOUNT IS,32226-3404,JACKSONVILLE,FL,"JACKSONVILLE, FL"
MF5,DISTRIBUTION MANAGEMENT OFFICE,"BLDG 1012, O STREET M/F MMFAF5",28547-2503,CAMP LEJEUNE,NC,"CAMP LEJEUNE, NC"
MMF,DISTRIBUTION MANAGEMENT OFFICE,"7TH & A ST, BLDG 2262",92055-5001,CAMP PENDLETON,CA,"CAMP PENDLETON, CA"
MMZ,DISTRIBUTION MANAGEMENT OFFICE,"BLDG 1012, O STREET",28547-2503,CAMP LEJEUNE,NC,"CAMP LEJEUNE, NC"
MT3,DISTRIBUTION MANAGEMENT OFFICE,MF MMFAH8 BLDG 1830,92278-5000,TWENTYNINE PALMS,CA,"TWENTYNINE PALMS, CA"
SDD,DLA DIST WARNER ROBINS,455 BYRON STREET BLDG 376,31098-1887,ROBINS A F B,GA,"ROBINS A F B, GA"
SDA,DLA DISTRIBUTION ALBANY,814 RADFORD BLVDBLDG1221DOOR20,31704-1128,ALBANY,GA,"ALBANY, GA"
SDB,DLA DISTRIBUTION ANNISTON,7 FRANKFORD AVE BLDG 362,36201-4199,ANNISTON,AL,"ANNISTON, AL"
SH8,DLA DISTRIBUTION BAHRAIN SW AS,BLDG 3510 ROAD 1548 BLOCK 115,00000,"AL HIDD 115 BH, BAHRAIN",AE,"AL HIDD 115 BH, BAHRAIN, AE"
SDH,DLA DISTRIBUTION CHERRY POINT,PHANTOM RD BLDG 147 BAY A,28533-5040,CHERRY POINT,NC,"CHERRY POINT, NC"
SDS,DLA DISTRIBUTION CORPUS CHRIST,540 FIRST STREET SE,78419-5255,CORPUS CHRISTI,TX,"CORPUS CHRISTI, TX"
SDT,DLA DISTRIBUTION DEPOT HILL,7537 WARDLEIGH RD,84056-5734,HILL AFB,UT,"HILL AFB, UT"
SDQ,DLA DISTRIBUTION EUROPE,CMR 425 BOX 708,09095-0700,APO,AE,"APO, AE"
S5J,DLA DISTRIBUTION KOREA - DDDK,UNIT 15758 CAMP CARROLL,96260-5758,APO,AP,"APO, AP"
SDF,DLA DISTRIBUTION NORFOLK VA,1968 GILBERT ST BLDG W143 DWY,23511-0001,NORFOLK,VA,"NORFOLK, VA"
SDN,DLA DISTRIBUTION RED RIVER,RECEIVING BLDG 499,75507,TEXARKANA,TX,"TEXARKANA, TX"
SRR,DLA DISTRIBUTION RICHMOND,GATE 13 BLDG 44 B BAY S.3RD ST,23297-5900,RICHMOND,VA,"RICHMOND, VA"
SDX,DLA DISTRIBUTION SAN DIEGO,3581 CUMMINGS ROAD BLDG 3581,92136-3581,SAN DIEGO,CA,"SAN DIEGO, CA"
SBX,DLA DISTRIBUTION SAN JOAQUIN,25600 SOUTH CHRISMAN ROAD,95304-5000,TRACY,CA,"TRACY, CA"
SAD,DLA DISTRIBUTION SUSQUEHANNA P,2001 NORMANDY DRIVE DOOR 113-1,17070-5002,NEW CUMBERLAND,PA,"NEW CUMBERLAND, PA"
SDC,DLA DISTRIBUTION TOBYHANNA,WAREHOUSE 6 BAY 4,18466-5059,TOBYHANNA,PA,"TOBYHANNA, PA"
