NIIN,PLANT,COND CODE,QTY,COG,IM Name,LRC
015740707,SDA-DLA DISTRIBUTION ALBANY,A,30,7S,ANDREW PICKENS,BE1
015525616,SG2-DLA DISTRIBUTION BARTSOW,F,2,7S,MICHELE HARRIS,BA1
200063230,SG2-DLA DISTRIBUTION BARTSOW,A,4,7S,ANDREW PICKENS,BE1
014770906,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,ROOSEVELT KEARNEY,BD1
150281238,SDA-DLA DISTRIBUTION ALBANY,F,28,7S,BRIDGETT SHEALY,BL5
012579961,MUY-TRAFFIC MANAGEMENT OFFICER,F,3,7S,BRIDGETT SHEALY,BH1
015589420,MUY-TRAFFIC MANAGEMENT OFFICER,F,3,7S,ANDREW PICKENS,BE1
012496287,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,JESSE ESPINOZA,BA4
200082705,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,ANDREW PICKENS,BE1
016740020,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,MICHELE HARRIS,BA1
014792170,SDA-DLA DISTRIBUTION ALBANY,F,2,7S,JESSE ESPINOZA,BM3
015876137,SDA-DLA DISTRIBUTION ALBANY,A,11,7S,ROOSEVELT KEARNEY,BD2
014619745,SDA-DLA DISTRIBUTION ALBANY,A,29,7S,ANDREW PICKENS,BE1
016240698,SDA-DLA DISTRIBUTION ALBANY,F,5,7S,KATHERINE L CHILDERS,BJ1
150281237,MMF-Camp Pendelton NERP,A,1,7S,BRIDGETT SHEALY,BL5
015791581,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,MICHELE HARRIS,BA1
015589427,LN1-RAYTHEON COMPANY,H,1,7S,ANDREW PICKENS,BE1
015158262,SDA-DLA DISTRIBUTION ALBANY,F,2,7S,ANDREW PICKENS,BE2
014745704,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,JESSE ESPINOZA,BM3
015649001,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,MICHELE HARRIS,BA1
015190399,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,DENE BRASWELL,BB6
016076670,P64-NSWC CRANE,F,13,7S,DENE BRASWELL,BB6
016226804,SDA-DLA DISTRIBUTION ALBANY,A,5,7S,MICHELE HARRIS,BA1
015420903,SDA-DLA DISTRIBUTION ALBANY,F,4,7S,JESSE ESPINOZA,BA3
015474017,SDA-DLA DISTRIBUTION ALBANY,F,6,7S,JESSE ESPINOZA,BM1
150285596,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,BRIDGETT SHEALY,BH1
016211709,SDA-DLA DISTRIBUTION ALBANY,F,3,7S,DENE BRASWELL,BB5
011426779,SDA-DLA DISTRIBUTION ALBANY,A,14,7S,JESSE ESPINOZA,BA4
012589661,SDA-DLA DISTRIBUTION ALBANY,J,8,7S,BRIDGETT SHEALY,BH1
014304990,SG2-DLA DISTRIBUTION BARTSOW,A,5,7S,ANDREW PICKENS,BE1
014304990,SG2-DLA DISTRIBUTION BARTSOW,F,1,7S,ANDREW PICKENS,BE1
014925675,SG2-DLA DISTRIBUTION BARTSOW,A,2,7S,ROOSEVELT KEARNEY,BD2
015075778,SG2-DLA DISTRIBUTION BARTSOW,F,1,7S,ANDREW PICKENS,BE1
016581742,SDA-DLA DISTRIBUTION ALBANY,A,13,7S,ROOSEVELT KEARNEY,BD2
014615454,BY6-W1A8 DLA DIST-TOBYANNA,A,29,7S,JESSE ESPINOZA,BA3
013187990,MAB-MARINE CORPS LOGISTICS BASE,F,9,7G,NO IM ASSIGNED,NO LRC
011454945,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,JESSE ESPINOZA,BA4
011594309,SDA-DLA DISTRIBUTION ALBANY,A,15,7S,JESSE ESPINOZA,BA4
013715638,SDA-DLA DISTRIBUTION ALBANY,A,11,7S,MICHELE HARRIS,BC1
014638091,SDA-DLA DISTRIBUTION ALBANY,A,50,7S,BRIDGETT SHEALY,BH1
015000576,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,JESSE ESPINOZA,OBL
015795012,SDA-DLA DISTRIBUTION ALBANY,A,11,7S,JESSE ESPINOZA,BM4
016229603,SDA-DLA DISTRIBUTION ALBANY,F,15,7S,MICHELE HARRIS,BA1
219064746,SDA-DLA DISTRIBUTION ALBANY,A,11,7S,ANDREW PICKENS,BE1
015895084,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,KATHERINE L CHILDERS,BJ1
014836103,MUY-TRAFFIC MANAGEMENT OFFICER,F,7,7S,ANDREW PICKENS,BE2
015817287,MAB-MARINE CORPS LOGISTICS BASE,D,72,7S,MICHELE HARRIS,BC1
016104831,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,KATHERINE L CHILDERS,BJ1
150270051,SDA-DLA DISTRIBUTION ALBANY,H,72,7S,BRIDGETT SHEALY,BH1
200082293,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,ANDREW PICKENS,BE1
016617074,SDA-DLA DISTRIBUTION ALBANY,F,32,7S,MICHELE HARRIS,BA1
015891282,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,ROOSEVELT KEARNEY,BK2
016086851,SDA-DLA DISTRIBUTION ALBANY,K,9,7S,MICHELE HARRIS,BC1
011406068,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,JESSE ESPINOZA,BA4
015867693,SDA-DLA DISTRIBUTION ALBANY,A,9,7S,BRIDGETT SHEALY,BH4
150273112,SDA-DLA DISTRIBUTION ALBANY,F,2,7S,BRIDGETT SHEALY,BH1
011604223,SDA-DLA DISTRIBUTION ALBANY,A,5,7S,JESSE ESPINOZA,BA4
012330351,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,KATHERINE L CHILDERS,BG3
015867693,SDA-DLA DISTRIBUTION ALBANY,F,2,7S,BRIDGETT SHEALY,BH4
200056562,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,ANDREW PICKENS,BE1
012739861,SDA-DLA DISTRIBUTION ALBANY,F,8,7S,BRIDGETT SHEALY,BH4
016205708,SDA-DLA DISTRIBUTION ALBANY,A,7,7S,ROOSEVELT KEARNEY,BD2
014222051,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,KATHERINE L CHILDERS,BG3
015654987,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,KATHERINE L CHILDERS,BJ1
014927334,SDA-DLA DISTRIBUTION ALBANY,A,12,7S,ROOSEVELT KEARNEY,BD2
014928109,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,ROOSEVELT KEARNEY,BD2
014948411,SDA-DLA DISTRIBUTION ALBANY,A,5,7S,ROOSEVELT KEARNEY,BD2
014958109,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,ROOSEVELT KEARNEY,BD2
014958109,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,ROOSEVELT KEARNEY,BD2
011416000,SDA-DLA DISTRIBUTION ALBANY,F,17,7S,JESSE ESPINOZA,BA4
016206279,SDA-DLA DISTRIBUTION ALBANY,F,1,7H,NO IM ASSIGNED,NO LRC
015920140,SG2-DLA DISTRIBUTION BARTSOW,K,1,7S,JESSE ESPINOZA,BM4
014958130,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,ROOSEVELT KEARNEY,BD2
015077416,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,ANDREW PICKENS,BE1
014248515,SDA-DLA DISTRIBUTION ALBANY,A,14,7S,JESSE ESPINOZA,BA3
011419017,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,JESSE ESPINOZA,BA4
016076670,SDA-DLA DISTRIBUTION ALBANY,F,2,7S,DENE BRASWELL,BB6
016284651,SDA-DLA DISTRIBUTION ALBANY,A,16,7S,ROOSEVELT KEARNEY,BD2
016487156,SDA-DLA DISTRIBUTION ALBANY,A,8,7S,ANDREW PICKENS,BE1
016487158,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,ANDREW PICKENS,BE1
016487159,SDA-DLA DISTRIBUTION ALBANY,A,7,7S,ANDREW PICKENS,BE1
016487159,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,ANDREW PICKENS,BE1
016875088,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,DENE BRASWELL,BB6
010922752,SG2-DLA DISTRIBUTION BARTSOW,A,3,7S,KATHERINE L CHILDERS,BG3
014729112,SG2-DLA DISTRIBUTION BARTSOW,A,1,7S,BRIDGETT SHEALY,BH4
014948411,SG2-DLA DISTRIBUTION BARTSOW,A,1,7S,ROOSEVELT KEARNEY,BD2
015077399,SG2-DLA DISTRIBUTION BARTSOW,A,2,7S,ANDREW PICKENS,BE1
016487158,SG2-DLA DISTRIBUTION BARTSOW,F,2,7S,ANDREW PICKENS,BE1
011411132,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,JESSE ESPINOZA,BA4
015465662,SDA-DLA DISTRIBUTION ALBANY,A,17,7S,JESSE ESPINOZA,BA4
016209210,SG2-DLA DISTRIBUTION BARTSOW,F,1,7S,ROOSEVELT KEARNEY,BD2
015853684,MG4-MARINE DEPOT MAINTENANCE COMMA,F,1,7S,KATHERINE L CHILDERS,BJ1
015474017,AN5-W1A8 DLA DISTRIBUTION,F,2,7S,JESSE ESPINOZA,BM1
016635115,SDA-DLA DISTRIBUTION ALBANY,J,1,7S,DENE BRASWELL,BB6
150266563,SDA-DLA DISTRIBUTION ALBANY,H,3,7S,BRIDGETT SHEALY,BL5
011413094,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,JESSE ESPINOZA,BA4
150266561,SDA-DLA DISTRIBUTION ALBANY,H,1,7S,BRIDGETT SHEALY,BH1
011426721,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,JESSE ESPINOZA,BA4
150273112,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,BRIDGETT SHEALY,BH1
016594496,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,DENE BRASWELL,BB6
200056506,SDA-DLA DISTRIBUTION ALBANY,A,8,7S,ANDREW PICKENS,BE1
200056507,SDA-DLA DISTRIBUTION ALBANY,A,11,7S,ANDREW PICKENS,BE1
200056542,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,ANDREW PICKENS,BE1
200056545,SDA-DLA DISTRIBUTION ALBANY,A,9,7S,ANDREW PICKENS,BE1
200056548,SDA-DLA DISTRIBUTION ALBANY,A,8,7S,ANDREW PICKENS,BE1
200056564,SDA-DLA DISTRIBUTION ALBANY,A,8,7S,ANDREW PICKENS,BE1
200056578,SDA-DLA DISTRIBUTION ALBANY,A,7,7S,ANDREW PICKENS,BE1
011413094,SDA-DLA DISTRIBUTION ALBANY,A,12,7S,JESSE ESPINOZA,BA4
015049671,SG2-DLA DISTRIBUTION BARTSOW,A,4,7S,ANDREW PICKENS,BE1
015057751,SDA-DLA DISTRIBUTION ALBANY,H,1,7S,MICHELE HARRIS,BC3
014863828,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,MICHELE HARRIS,BC3
015733394,SG2-DLA DISTRIBUTION BARTSOW,F,1,7S,JESSE ESPINOZA,BA3
011430428,SDA-DLA DISTRIBUTION ALBANY,A,32,7S,JESSE ESPINOZA,BA4
016184602,SG2-DLA DISTRIBUTION BARTSOW,F,2,7S,ANDREW PICKENS,BE2
