Cl.,Plnt,Name 1,ValA,CustNoPlnt,Vendor number plant,Cal,Name 2,Street and House Number,PO Box,PostalCode,City,POrg,SOrg,B,Conds. at plant level,Source list,RP,Ctr,Rg,CCd,City,Address,Plnt,Tax Jur.,DstCh,Div.,Language,Plnt,VarKey,B,C,SDst,Region,Plant,R,Remind1,Remind2,Remind3,1st dunning,2nd Dunning,3rd Dunning,PO toler.,Business Place,SADet,Distrib. profile of plant,ArMk,DT,Nty,NamS,Cost Obj.Controlling,Mixed Costing,Actual Costing,ShPt,ActAct,CCtr Credit Cont,A,Seg. Status MRP,Order Allocation Run,Season Active in IM,Control Data for BOM,Val,Tp,Ind,Store Cat,Sup. DS
100,EBA4,ARMY GENERAL SUPPLY LMP STOCK,EBA4,SW562RPBA4,,US,W562RP,7 FRANKFORD AVE 362,,36201-4199,ANNISTON,,1790,,,,,US,AL,002,,0008452990,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDU,DEF DIST DEPOT TINKER AFB,ESDU,SSW3211SDU,,US,SW3211,3301 F AVE CEN REC BLDG 506 DR,,73145-8000,TINKER AFB,,1790,,,,,US,OK,002,,0008453001,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESR5,DEFENSE LOGISTICS AGENCY LAND,ESR5,SSW310LSR5,,US,SW310L,BLDG 1331 DOOR 10K,,31704-1130,ALBANY,,1790,,,,,US,GA,002,,0008453004,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMBB,DIR FLEET SUPPORT DIV B875,EMBB,SMMSA02MBB,,US,MMSA02,BOX 110870,,92311-5048,BARSTOW,,1790,,,,,US,CA,002,,0008452995,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EM20,DISTRIBUTION MANAGEMENT OFFICE,EM20,SMMFAQ9M20,,US,MMFAQ9,6200 FLAGSHIP CIR BLOUNT IS,,32226-3404,JACKSONVILLE,,1790,,,,,US,FL,002,,0010521997,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EM3H,DISTRIBUTION MANAGEMENT OFFICE,EM3H,SMMFAG2M3H,,US,MMFAG2,BLDG 209 2ND & C STREET,,96863-3063,MCBH KANEOHE BAY,,1790,,,,,US,HI,002,,0010444482,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMF1,DISTRIBUTION MANAGEMENT OFFICE,EMF1,SMMFAU1MF1,,US,MMFAU1,6200 FLAGSHIP CIRCLE BLOUNT IS,,32226-3404,JACKSONVILLE,,1790,,,,,US,FL,002,,0010412831,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMF5,DISTRIBUTION MANAGEMENT OFFICE,EMF5,SMMFAF5MF5,,US,MMFAF5,"BLDG 1012, O STREET M/F MMFAF5",,28547-2503,CAMP LEJEUNE,,1790,,,,,US,NC,002,,0010695561,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMMF,DISTRIBUTION MANAGEMENT OFFICE,EMMF,SMMFZP1MMF,,US,MMFZP1,"7TH & A ST, BLDG 2262",,92055-5001,CAMP PENDLETON,,1790,,,,,US,CA,002,,0011024727,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMMZ,DISTRIBUTION MANAGEMENT OFFICE,EMMZ,SMMFZL1MMZ,,US,MMFZL1,"BLDG 1012, O STREET",,28547-2503,CAMP LEJEUNE,,1790,,,,,US,NC,002,,0011024728,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,EMT3,DISTRIBUTION MANAGEMENT OFFICE,EMT3,SMMFAH8MT3,,US,MMFAH8,MF MMFAH8 BLDG 1830,,92278-5000,TWENTYNINE PALMS,,1790,,,,,US,CA,002,,0010695562,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDD,DLA DIST WARNER ROBINS,ESDD,SSW3119SDD,,US,SW3119,455 BYRON STREET BLDG 376,,31098-1887,ROBINS A F B,,1790,,,,,US,GA,002,,0008452997,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
100,ESDA,DLA DISTRIBUTION ALBANY,ESDA,SSW3121SDA,,US,SW3121,814 RADFORD BLVDBLDG1221DOOR20,,31704-1128,ALBANY,,1790,,,,,US,GA,002,,0008452996,,,00,00,E,,,,,,,,,0,0,0,,,,0,,,,,,,,false,false,false,,,,,,,,,,,,,
